epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3344,1.16446,1.52945,0.93691,0.51716,0.52022,0.47861,0.30858,0.97245,1.21026,0.84886,0.000415833,0.000415833,0.000415833
2,159.893,0.99785,1.12931,0.89106,0.6053,0.55263,0.55885,0.37384,0.93079,1.05264,0.84768,0.000750083,0.000750083,0.000750083
3,236.506,0.94944,1.04538,0.8823,0.65905,0.58352,0.60152,0.41767,0.85867,0.95101,0.83166,0.00100183,0.00100183,0.00100183
4,310.619,0.89149,0.95989,0.86756,0.69382,0.60096,0.6358,0.43121,0.86734,0.90243,0.82566,0.00087875,0.00087875,0.00087875
5,387.411,0.83245,0.88962,0.85465,0.68576,0.60527,0.63496,0.45101,0.80697,0.85028,0.8187,0.000755,0.000755,0.000755
6,547.415,0.78697,0.82534,0.84874,0.7432,0.64324,0.69753,0.49261,0.76079,0.78806,0.80615,0.00063125,0.00063125,0.00063125
7,737.57,0.74579,0.77134,0.84115,0.76384,0.66163,0.71769,0.53318,0.69749,0.72273,0.80379,0.0005075,0.0005075,0.0005075
8,928.341,0.70867,0.71994,0.83724,0.77856,0.66831,0.73453,0.54733,0.68822,0.68403,0.79692,0.00038375,0.00038375,0.00038375
9,1118.82,0.67333,0.66644,0.82913,0.77193,0.67276,0.7298,0.56559,0.62834,0.65165,0.79185,0.00026,0.00026,0.00026
10,1311.31,0.64629,0.62067,0.82461,0.79277,0.67769,0.7494,0.58408,0.60546,0.6095,0.78771,0.00013625,0.00013625,0.00013625
